timestamp,run_id,gpu_name,gpu_vram_mb,model_name,quantization,model_size_gb,context_length,prompt_tier,avg_ttft_ms,std_ttft_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_first_ms,ttft_steady_ms,avg_tps,std_tps,avg_power_w,total_energy_wh,avg_kv_cache_estimated_mb,avg_kv_cache_estimated_percent,num_runs,perplexity,cpu_info,system_ram
2026-02-07T10:51:57.037943,,NVIDIA GeForce RTX 3080,10240,test-model,q4,1.0,1024,tiny,1.00,0.00,1.00,1.00,1.00,1.00,1.00,555.56,0.00,,,,,1,,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-07T15:18:49.508689,,NVIDIA GeForce RTX 3080,10240,test-model,q4,1.0,1024,tiny,1.00,0.00,1.00,1.00,1.00,1.00,1.00,555.56,0.00,,,,,1,,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-07T15:43:42.870635,,NVIDIA GeForce RTX 3080,10240,demo-model,fp16,7.0,4096,medium,121.71,45.55,132.81,175.13,175.13,175.13,108.36,35.80,10.80,126.7,1.3526,,,5,,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:08:39.373965,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q8_0,6.671763718128204,1900,tiny,51.67,0.89,51.62,53.42,54.31,52.15,51.66,19.40,0.19,171.6,12.3962,72.5,,40,12.0515,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:13:19.363724,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q8_0,6.671763718128204,1900,small,54.26,0.76,54.24,56.44,56.45,54.23,54.26,19.36,0.15,172.7,12.5189,84.0,,40,12.0515,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:17:59.880156,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q8_0,6.671763718128204,1900,medium,53.28,0.57,53.34,54.20,54.63,53.90,53.26,18.81,0.21,172.2,12.5162,197.0,,40,12.0515,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:22:48.838126,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q8_0,6.671763718128204,1900,large,59.81,1.12,60.16,61.73,61.93,60.60,59.79,16.86,0.23,169.2,14.0155,700.5,,40,12.0515,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:28:11.590007,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q8_0,6.671763718128204,1900,xlarge,63.84,1.11,63.77,66.70,67.76,63.34,63.85,16.53,0.14,167.7,14.0279,958.5,,40,12.0515,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:33:56.075734,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q6_K,5.151469528675079,4335,tiny,65.89,0.49,65.90,67.01,67.13,66.00,65.88,15.20,0.08,162.5,14.6863,72.5,,40,12.0863,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:39:53.318634,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q6_K,5.151469528675079,4335,small,68.25,0.53,68.26,69.35,69.68,68.75,68.24,15.07,0.06,163.4,15.2731,84.0,,40,12.0863,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:45:53.366281,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q6_K,5.151469528675079,4335,medium,69.24,0.43,69.28,70.06,70.27,70.27,69.22,14.46,0.04,162.1,15.3627,197.0,,40,12.0863,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:52:08.705580,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q6_K,5.151469528675079,4335,large,83.70,1.48,83.47,86.85,87.73,87.73,83.60,12.37,0.14,159.9,17.9724,700.5,,40,12.0863,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T12:59:28.616185,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q6_K,5.151469528675079,4335,xlarge,92.73,0.89,92.85,94.49,94.89,91.76,92.75,10.97,0.11,160.3,16.0880,2176.0,,40,12.0863,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T13:06:16.224373,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q5_K_M,4.456538498401642,5759,tiny,58.52,0.53,58.52,59.54,59.64,57.78,58.54,17.11,0.09,160.6,13.0674,72.5,,40,12.1506,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T13:11:33.649647,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q5_K_M,4.456538498401642,5759,small,62.10,2.85,61.47,69.00,77.89,61.25,62.12,16.80,0.38,160.8,13.4897,84.0,,40,12.1506,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
2026-02-08T13:16:56.975041,2026-02-08T01-08-20Z_c1c3,NVIDIA GeForce RTX 3080,10240,DeepSeek-Coder-7B,Q5_K_M,4.456538498401642,5759,medium,60.09,0.44,60.09,60.94,61.61,59.65,60.11,16.78,0.07,163.7,13.6848,197.0,,40,12.1506,AMD Ryzen Threadripper 2990WX 32-Core Processor,94.2 GB
