timestamp,run_id,gpu_name,gpu_vram_mb,model_name,quantization,model_size_gb,context_length,prompt_tier,avg_ttft_ms,std_ttft_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_first_ms,ttft_steady_ms,avg_tps,std_tps,avg_power_w,total_energy_wh,avg_kv_cache_estimated_mb,avg_kv_cache_estimated_percent,num_runs,perplexity,cpu_info,system_ram
2026-02-06T18:29:27.338477,,NVIDIA GeForce RTX 4090,24564,test-model,q4,1.0,1024,tiny,1.00,0.00,1.00,1.00,1.00,1.00,1.00,555.56,0.00,,,,,1,,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:37.964121,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,F16,0.6757246255874634,2048,medium,2.66,1.05,3.40,3.40,3.40,3.40,1.92,1000.00,0.00,39.9,0.0000,0.1,,2,19.4966,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:39.957321,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,Q8_0,0.3598676919937134,2048,medium,2.34,1.12,3.13,3.13,3.13,3.13,1.54,1000.00,0.00,56.8,0.0000,0.1,,2,19.5620,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:41.894337,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,Q6_K,0.34212934970855713,2048,medium,2.44,1.27,3.34,3.34,3.34,3.34,1.54,1000.00,0.00,57.6,0.0000,0.1,,2,19.6669,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:43.832196,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,Q5_K_M,0.27003157138824463,2048,medium,2.27,1.13,3.08,3.08,3.08,3.08,1.47,1000.00,0.00,56.5,0.0000,0.1,,2,19.9117,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:44.782838,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,Q4_K_M,0.2520071268081665,2048,medium,2.30,1.19,3.14,3.14,3.14,3.14,1.45,1000.00,0.00,59.8,0.0000,0.1,,2,19.9197,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:46.233315,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,Q3_K_M,0.21856892108917236,2048,medium,2.24,1.16,3.06,3.06,3.06,3.06,1.43,1000.00,0.00,59.0,0.0000,0.1,,2,21.2053,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:29:47.681283,2026-02-06T07-29-37Z_f75d,NVIDIA GeForce RTX 4090,24564,SmolLM2-360M-Instruct-GGUF,Q2_K,0.20365583896636963,2048,medium,2.26,1.18,3.09,3.09,3.09,3.09,1.43,1000.00,0.00,58.8,0.0000,0.1,,2,23.0024,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:30:38.574317,,NVIDIA GeForce RTX 4090,24564,test-model,q4,1.0,1024,tiny,1.00,0.00,1.00,1.00,1.00,1.00,1.00,555.56,0.00,,,,,1,,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
2026-02-06T18:32:25.006588,2026-02-06T07-31-50Z_5c10,NVIDIA GeForce RTX 4090,24564,DeepSeek-Coder-7B,F16,12.556773483753204,16384,tiny,15.24,0.32,15.07,15.96,16.17,15.16,15.24,66.66,0.77,279.6,5.0533,72.5,,40,12.0618,AMD Ryzen 9 5900X 12-Core Processor,62.7 GB
